From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Wimbledon Chase,450538,Waterloo,00:28,1,every 00:31,,,,00:28
Wimbledon Chase,450538,Blackfriars,00:36,0,every 00:31,,,,00:36
Wimbledon Chase,450538,London Bridge,00:44,0,every 00:13,,,,00:44
Wimbledon Chase,450538,Kings Cross,00:49,1,every 00:26,,,,00:49
Wimbledon Chase,450538,Moorgate,00:55,1,every 00:23,,,,00:55
Winchester,379922,Waterloo,00:58,0,every 00:10,,,,00:58
Winchfield,373655,Waterloo,00:49,0,every 00:18,,,,00:49
Windsor & Eton Central,431298,Paddington,00:30,1,every 00:19,,,,00:30
Windsor & Eton Riverside,431298,Waterloo,00:56,0,every 00:22,,,,00:56
Winnersh,323034,Paddington,00:44,1,every 00:30,,,,00:44
Winnersh Triangle,323034,Paddington,00:42,1,every 00:30,,,,00:42
Witley,439335,Waterloo,00:55,0,every 00:25,,,,00:55
Woking,357859,Waterloo,00:27,0,every 00:05,,,,00:27
Wokingham,323034,Paddington,00:47,1,every 00:15,,,,00:47
Worcester Park,412144,Waterloo,00:29,0,every 00:10,,,,00:29
Worplesdon,357859,Waterloo,00:31,0,every 00:28,,,,00:31
Wraysbury,431298,Waterloo,00:47,0,every 00:30,,,,00:47

Data exported from commutefrom.com
