From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Harold Wood,251482,Liverpool Street,00:33,0,every 00:06,,,,00:33
Hatfield Peverel,229818,Liverpool Street,00:43,0,every 00:33,,,,00:43
Hayes,347974,London Bridge,00:37,0,every 00:10,,,,00:37
Hayes,347974,Cannon Street,00:40,0,every 00:17,,,,00:40
Hayes,347974,Waterloo,00:40,1,every 00:14,,,,00:40
Hayes,347974,Charing Cross,00:41,0,every 00:14,,,,00:41
Hayes,347974,Victoria,00:47,1,every 00:10,,,,00:47
Hayes,347974,Blackfriars,00:52,2,every 00:10,,,,00:52
Headcorn,237054,London Bridge,00:58,0,every 00:09,,,,00:58
Hever,448336,London Bridge,00:44,0,every 00:00,,,,00:44
Hever,448336,Victoria,00:52,1,every 00:00,,,,00:52
High Brooms,374023,London Bridge,00:44,0,every 00:15,,,,00:44
High Brooms,374023,Charing Cross,00:48,0,every 00:14,,,,00:48
High Brooms,374023,Waterloo,00:49,1,every 00:14,,,,00:49
High Brooms,374023,Cannon Street,00:50,0,every 00:15,,,,00:50
Higham,205533,London Bridge,00:51,0,every 00:15,,,,00:51
Highams Park,256029,Liverpool Street,00:25,0,every 00:15,,,,00:25
Hildenborough,309378,London Bridge,00:33,0,every 00:13,,,,00:33
Hildenborough,309378,Cannon Street,00:39,0,every 00:19,,,,00:39
Hildenborough,309378,Waterloo,00:44,1,every 00:10,,,,00:44
Hildenborough,309378,Charing Cross,00:45,0,every 00:10,,,,00:45
Hither Green,298892,Waterloo,00:21,1,every 00:08,,,,00:21
Hither Green,298892,Charing Cross,00:22,0,every 00:08,,,,00:22
Hither Green,298892,Cannon Street,00:24,0,every 00:06,,,,00:24
Hither Green,298892,Victoria,00:37,1,every 00:08,,,,00:37
Hither Green,298892,Blackfriars,00:42,1,every 00:06,,,,00:42
Hockley,236926,Liverpool Street,00:49,0,every 00:09,,,,00:49
Homerton,390127,Euston,00:29,1,every 00:07,,,,00:29
Honor Oak Park,298892,Moorgate,00:31,1,every 00:07,,,,00:31
Honor Oak Park,298892,Waterloo,00:33,1,every 00:05,,,,00:33
Honor Oak Park,298892,Charing Cross,00:34,1,every 00:11,,,,00:34
Honor Oak Park,298892,Blackfriars,00:34,1,every 00:07,,,,00:34
Honor Oak Park,298892,Kings Cross,00:35,1,every 00:07,,,,00:35
Honor Oak Park,298892,Victoria,00:37,0,every 00:04,,,,00:37
Ilford,316019,Liverpool Street,00:16,0,every 00:03,,,,00:16
Ingatestone,341139,Liverpool Street,00:31,0,every 00:18,,,,00:31
Kelvedon,229818,Liverpool Street,00:50,0,every 00:12,,,,00:50
Kemsing,448336,Victoria,00:45,0,every 00:13,,,,00:45
Kemsing,448336,Blackfriars,00:46,0,every 00:16,,,,00:46
Kemsing,448336,London Bridge,00:55,1,every 00:18,,,,00:55
Kemsing,448336,Charing Cross,00:59,1,every 00:12,,,,00:59
Kent House,347974,Victoria,00:20,0,every 00:12,,,,00:20
Kent House,347974,Blackfriars,00:21,0,every 00:13,,,,00:21
Kent House,347974,Charing Cross,00:34,1,every 00:08,,,,00:34
Kent House,347974,Waterloo,00:36,1,every 00:11,,,,00:36
Kent House,347974,London Bridge,00:37,1,every 00:06,,,,00:37
Kent House,347974,Cannon Street,00:45,1,every 00:10,,,,00:45
Kidbrooke,298130,London Bridge,00:16,0,every 00:10,,,,00:16
Kidbrooke,298130,Cannon Street,00:23,0,every 00:18,,,,00:23
Kidbrooke,298130,Waterloo,00:25,1,every 00:11,,,,00:25
Kidbrooke,298130,Charing Cross,00:25,0,every 00:11,,,,00:25
Kidbrooke,298130,Victoria,00:31,0,every 00:16,,,,00:31
Kidbrooke,298130,Blackfriars,00:43,1,every 00:05,,,,00:43
Knockholt,448336,London Bridge,00:24,0,every 00:20,,,,00:24
Knockholt,448336,Waterloo,00:34,2,every 00:20,,,,00:34
Knockholt,448336,Charing Cross,00:35,1,every 00:20,,,,00:35
Knockholt,448336,Cannon Street,00:39,0,every 00:20,,,,00:39
Knockholt,448336,Victoria,00:52,1,every 00:20,,,,00:52
Knockholt,448336,Blackfriars,00:55,1,every 00:20,,,,00:55
Ladywell,298892,London Bridge,00:16,0,every 00:10,,,,00:16
Ladywell,298892,Cannon Street,00:19,0,every 00:17,,,,00:19
Ladywell,298892,Waterloo,00:19,1,every 00:14,,,,00:19
Ladywell,298892,Charing Cross,00:20,0,every 00:14,,,,00:20
Ladywell,298892,Victoria,00:37,1,every 00:10,,,,00:37
Ladywell,298892,Blackfriars,00:37,1,every 00:07,,,,00:37
Laindon,235205,Fenchurch Street,00:33,0,every 00:07,,,,00:33
Lee,298892,Waterloo,00:23,1,every 00:11,,,,00:23
Lee,298892,Charing Cross,00:24,0,every 00:11,,,,00:24
Lee,298892,Cannon Street,00:27,0,every 00:11,,,,00:27
Lee,298892,Victoria,00:41,1,every 00:10,,,,00:41
Lee,298892,Blackfriars,00:44,1,every 00:11,,,,00:44
Leigh (Kent),448336,London Bridge,00:47,0,every 00:25,,,,00:47
Leigh (Kent),448336,Cannon Street,00:53,1,every 00:33,,,,00:53
Leigh (Kent),448336,Waterloo,00:58,2,every 00:33,,,,00:58
Leigh (Kent),448336,Charing Cross,00:59,1,every 00:39,,,,00:59
Leigh On Sea,209540,Fenchurch Street,00:45,0,every 00:07,,,,00:45
Lewisham,298892,Cannon Street,00:15,0,every 00:06,,,,00:15
Lewisham,298892,Waterloo,00:18,1,every 00:09,,,,00:18
Lewisham,298892,Charing Cross,00:19,0,every 00:09,,,,00:19
Lewisham,298892,Victoria,00:24,0,every 00:15,,,,00:24
Lewisham,298892,Blackfriars,00:36,0,every 00:07,,,,00:36
Leyton Midland Road,256029,Euston,00:41,1,every 00:13,,,,00:41
Leytonstone High Road,256029,Euston,00:44,1,every 00:12,,,,00:44
London Bridge,424252,Blackfriars,00:26,1,every 00:03,,,,00:26
London Bridge,424252,Victoria,00:27,0,every 00:07,,,,00:27
Longfield,223277,Victoria,00:34,0,every 00:22,,,,00:34
Longfield,223277,Blackfriars,00:49,0,every 00:16,,,,00:49
Longfield,223277,Charing Cross,00:56,1,every 00:20,,,,00:56
Longfield,223277,London Bridge,00:59,1,every 00:10,,,,00:59
Lower Sydenham,298892,London Bridge,00:21,0,every 00:10,,,,00:21
Lower Sydenham,298892,Cannon Street,00:24,0,every 00:17,,,,00:24
Lower Sydenham,298892,Waterloo,00:24,1,every 00:14,,,,00:24
Lower Sydenham,298892,Charing Cross,00:25,0,every 00:14,,,,00:25
Lower Sydenham,298892,Blackfriars,00:38,1,every 00:10,,,,00:38
