From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Folkestone West,206805,St Pancras,00:53,0,every 00:29,,,,00:53
Forest Hill,298892,London Bridge,00:16,0,every 00:10,,,,00:16
Forest Hill,298892,Moorgate,00:34,1,every 00:07,,,,00:34
Forest Hill,298892,Waterloo,00:35,1,every 00:05,,,,00:35
Forest Hill,298892,Victoria,00:35,0,every 00:08,,,,00:35
Forest Hill,298892,Charing Cross,00:36,1,every 00:11,,,,00:36
Forest Hill,298892,Blackfriars,00:37,1,every 00:07,,,,00:37
Forest Hill,298892,Kings Cross,00:38,1,every 00:07,,,,00:38
Frant,327187,London Bridge,00:59,0,every 00:21,,,,00:59
Fulwell,592341,Waterloo,00:39,0,every 00:14,,,,00:39
Gatwick Airport,216026,London Bridge,00:28,0,every 00:13,,,,00:28
Gatwick Airport,216026,Victoria,00:30,0,every 00:06,,,,00:30
Gatwick Airport,216026,Blackfriars,00:35,0,every 00:15,,,,00:35
Gatwick Airport,216026,Waterloo,00:43,1,every 00:06,,,,00:43
Gatwick Airport,216026,Charing Cross,00:46,1,every 00:06,,,,00:46
Gatwick Airport,216026,Kings Cross,00:56,1,every 00:05,,,,00:56
Gatwick Airport,216026,Moorgate,00:57,1,every 00:17,,,,00:57
Gillingham (Kent),174947,London Bridge,00:45,0,every 00:21,,,,00:45
Gillingham (Kent),174947,Cannon Street,00:52,0,every 00:24,,,,00:52
Gillingham (Kent),174947,Victoria,00:57,0,every 00:11,,,,00:57
Gipsy Hill,411350,London Bridge,00:25,0,every 00:15,,,,00:25
Gipsy Hill,411350,Victoria,00:26,0,every 00:15,,,,00:26
Gipsy Hill,411350,Waterloo,00:37,1,every 00:14,,,,00:37
Gipsy Hill,411350,Charing Cross,00:47,1,every 00:07,,,,00:47
Godalming,439335,Waterloo,00:46,0,every 00:14,,,,00:46
Godstone,385858,Blackfriars,00:50,1,every 00:27,,,,00:50
Godstone,385858,London Bridge,00:51,0,every 00:18,,,,00:51
Godstone,385858,Victoria,00:52,1,every 00:31,,,,00:52
Greenwich,298130,Waterloo,00:20,1,every 00:10,,,,00:20
Greenwich,298130,Charing Cross,00:21,0,every 00:10,,,,00:21
Greenwich,298130,Blackfriars,00:32,0,every 00:06,,,,00:32
Greenwich,298130,Victoria,00:38,1,every 00:06,,,,00:38
Grove Park,298892,Cannon Street,00:20,0,every 00:20,,,,00:20
Grove Park,298892,Waterloo,00:20,1,every 00:09,,,,00:20
Grove Park,298892,Charing Cross,00:21,0,every 00:09,,,,00:21
Grove Park,298892,Victoria,00:38,1,every 00:08,,,,00:38
Grove Park,298892,Blackfriars,00:41,1,every 00:11,,,,00:41
Guildford,438370,Waterloo,00:37,0,every 00:11,,,,00:37
Hackbridge,274783,Victoria,00:21,0,every 00:11,,,,00:21
Hackbridge,274783,Blackfriars,00:30,0,every 00:19,,,,00:30
Hackbridge,274783,London Bridge,00:33,0,every 00:18,,,,00:33
Hackbridge,274783,Waterloo,00:38,1,every 00:12,,,,00:38
Hackbridge,274783,Charing Cross,00:43,1,every 00:09,,,,00:43
Hackbridge,274783,Moorgate,00:49,1,every 00:18,,,,00:49
Hackbridge,274783,Kings Cross,00:51,1,every 00:06,,,,00:51
Hampton,592341,Waterloo,00:42,0,every 00:14,,,,00:42
Hampton Court,660853,Waterloo,00:32,0,every 00:30,,,,00:32
Hampton Wick,592341,Waterloo,00:35,0,every 00:09,,,,00:35
Haslemere,439335,Waterloo,00:52,0,every 00:09,,,,00:52
Hassocks,317431,London Bridge,00:53,0,every 00:14,,,,00:53
Hassocks,317431,Victoria,00:56,0,every 00:14,,,,00:56
Haydons Road,450538,Blackfriars,00:27,0,every 00:30,,,,00:27
Haydons Road,450538,London Bridge,00:35,1,every 00:13,,,,00:35
Haydons Road,450538,Moorgate,00:46,1,every 00:30,,,,00:46
Haydons Road,450538,Kings Cross,00:50,1,every 00:11,,,,00:50
Hayes,347974,London Bridge,00:37,0,every 00:10,,,,00:37
Hayes,347974,Cannon Street,00:40,0,every 00:17,,,,00:40
Hayes,347974,Waterloo,00:40,1,every 00:14,,,,00:40
Hayes,347974,Charing Cross,00:41,0,every 00:14,,,,00:41
Hayes,347974,Victoria,00:47,1,every 00:10,,,,00:47
Hayes,347974,Blackfriars,00:52,2,every 00:10,,,,00:52
Haywards Heath,317431,London Bridge,00:42,0,every 00:13,,,,00:42
Haywards Heath,317431,Victoria,00:44,0,every 00:06,,,,00:44
Haywards Heath,317431,Blackfriars,00:55,0,every 00:08,,,,00:55
Headcorn,237054,London Bridge,00:58,0,every 00:09,,,,00:58
Herne Hill,411350,Charing Cross,00:24,1,every 00:08,,,,00:24
Herne Hill,411350,Waterloo,00:26,1,every 00:08,,,,00:26
Herne Hill,411350,London Bridge,00:29,1,every 00:09,,,,00:29
Herne Hill,411350,Moorgate,00:30,1,every 00:08,,,,00:30
Herne Hill,411350,Kings Cross,00:37,1,every 00:05,,,,00:37
Herne Hill,411350,Cannon Street,00:41,1,every 00:05,,,,00:41
Hersham,660853,Waterloo,00:26,0,every 00:11,,,,00:26
Hever,448336,London Bridge,00:44,0,every 00:00,,,,00:44
Hever,448336,Victoria,00:52,1,every 00:00,,,,00:52
High Brooms,374023,London Bridge,00:44,0,every 00:15,,,,00:44
High Brooms,374023,Charing Cross,00:48,0,every 00:14,,,,00:48
High Brooms,374023,Waterloo,00:49,1,every 00:14,,,,00:49
High Brooms,374023,Cannon Street,00:50,0,every 00:15,,,,00:50
Higham,205533,London Bridge,00:51,0,every 00:15,,,,00:51
Hildenborough,309378,London Bridge,00:33,0,every 00:13,,,,00:33
Hildenborough,309378,Cannon Street,00:39,0,every 00:19,,,,00:39
Hildenborough,309378,Waterloo,00:44,1,every 00:10,,,,00:44
