Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Queens Road Peckham,424252,Moorgate,00:38,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
commutefrom-E.csv,Queens Road Peckham,424252,Kings Cross,00:39,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
commutefrom-E.csv,Rainham,251482,London Bridge,00:39,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham,251482,Cannon Street,00:39,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham,251482,Waterloo,00:41,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham,251482,Blackfriars,00:42,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham,251482,Charing Cross,00:48,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham,251482,Victoria,00:49,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham&t=sec
commutefrom-E.csv,Rainham (Kent),174947,London Bridge,00:50,every 00:22,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=sec
commutefrom-E.csv,Rainham (Kent),174947,Cannon Street,00:57,every 00:26,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=sec
commutefrom-E.csv,Rainham (Kent),174947,Victoria,00:59,every 00:14,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Rainham%20(Kent)&t=sec
commutefrom-E.csv,Ravensbourne,347974,Blackfriars,00:27,every 00:14,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
commutefrom-E.csv,Ravensbourne,347974,Victoria,00:29,every 00:13,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
commutefrom-E.csv,Ravensbourne,347974,London Bridge,00:30,every 00:16,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ravensbourne&t=sec
