"From (train)","House Price","To (train)","Train time","Changes","Frequency","From (tube)","To (tube)","Tube time","Total time"
"Ware (Herts)","ﾣ315825","Liverpool Street",00:46:00,0,"every 00:28",,,,00:46:00
"Watford High Street","ﾣ244500","Euston",00:31:00,1,"every 00:15",,,,00:31:00
"Watford North","ﾣ244500","Euston",00:29:00,1,"every 00:42",,,,00:29:00
"Watton-at-Stone","ﾣ315825","Moorgate",00:48:00,0,"every 00:24",,,,00:48:00
"Watton-at-Stone","ﾣ315825","Kings Cross",00:50:00,1,"every 00:24",,,,00:50:00
"Welham Green","ﾣ326487","Kings Cross",00:37:00,1,"every 00:13",,,,00:37:00
"Welham Green","ﾣ326487","Moorgate",00:37:00,0,"every 00:15",,,,00:37:00
"Welham Green","ﾣ326487","London Bridge",00:44:00,1,"every 00:15",,,,00:44:00
"Welwyn Garden City","ﾣ326487","Moorgate",00:34:00,0,"every 00:10",,,,00:34:00
"Welwyn Garden City","ﾣ326487","London Bridge",00:41:00,1,"every 00:11",,,,00:41:00
"Welwyn Garden City","ﾣ326487","Blackfriars",00:49:00,1,"every 00:11",,,,00:49:00
"Welwyn North","ﾣ326487","Moorgate",00:38:00,1,"every 00:18",,,,00:38:00
"Welwyn North","ﾣ326487","London Bridge",00:45:00,1,"every 00:20",,,,00:45:00
"West Hampstead","ﾣ727184","Blackfriars",00:30:00,1,"every 00:18",,,,00:30:00
"West Hampstead","ﾣ727184","Kings Cross",00:32:00,1,"every 00:05",,,,00:32:00
"West Hampstead","ﾣ727184","Moorgate",00:39:00,2,"every 00:11",,,,00:39:00
"West Ruislip","ﾣ286335","Marylebone",00:25:00,0,"every 00:50",,,,00:25:00
"Winchmore Hill","ﾣ285581","Kings Cross",00:26:00,1,"every 00:08",,,,00:26:00
"Winchmore Hill","ﾣ285581","Moorgate",00:26:00,0,"every 00:08",,,,00:26:00
"Winchmore Hill","ﾣ285581","London Bridge",00:32:00,1,"every 00:08",,,,00:32:00
"Winchmore Hill","ﾣ285581","Blackfriars",00:39:00,1,"every 00:06",,,,00:39:00
"Witham","ﾣ223590","Liverpool Street",00:45:00,0,"every 00:06",,,,00:45:00
"Wolverton","ﾣ207124","Euston",00:44:00,0,"every 00:20",,,,00:44:00
,,,,,,,,,
"Data exported from commutefrom.com",,,,,,,,,
